kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,
gauss_kernel_cpu,221,0,1,1,32,0,0,0,0,1,32,
gauss_kernel_cpu_collapse,220,0,2,1,32,0,0,0,0,1,32,
gauss_kernel_gpu,103,1,1,1,32,4,0,4,0,1,32,
gauss_kernel_gpu_collapse,102,1,2,32,32,4,0,4,0,1,32,
gauss_kernel_gpu_mem,166,1,1,1,32,8196,0,8196,8192,1,32,
gauss_kernel_gpu_collapse_mem,162,1,2,32,32,8196,0,8196,8192,1,32,
gauss_kernel_cpu,223,0,1,1,64,0,0,0,0,1,64,
gauss_kernel_cpu_collapse,225,0,2,1,64,0,0,0,0,1,64,
gauss_kernel_gpu,102,1,1,1,64,4,0,4,0,1,64,
gauss_kernel_gpu_collapse,103,1,2,64,64,4,0,4,0,1,64,
gauss_kernel_gpu_mem,220,1,1,1,64,32772,0,32772,32768,1,64,
gauss_kernel_gpu_collapse_mem,221,1,2,64,64,32772,0,32772,32768,1,64,
gauss_kernel_cpu,241,0,1,1,96,0,0,0,0,1,96,
gauss_kernel_cpu_collapse,223,0,2,1,96,0,0,0,0,1,96,
gauss_kernel_gpu,115,1,1,1,96,4,0,4,0,1,96,
gauss_kernel_gpu_collapse,101,1,2,96,96,4,0,4,0,1,96,
gauss_kernel_gpu_mem,251,1,1,1,96,73732,0,73732,73728,1,96,
gauss_kernel_gpu_collapse_mem,237,1,2,96,96,73732,0,73732,73728,1,96,
gauss_kernel_cpu,245,0,1,1,128,0,0,0,0,1,128,
gauss_kernel_cpu_collapse,244,0,2,1,128,0,0,0,0,1,128,
gauss_kernel_gpu,125,1,1,1,128,4,0,4,0,1,128,
gauss_kernel_gpu_collapse,105,1,2,128,128,4,0,4,0,1,128,
gauss_kernel_gpu_mem,291,1,1,1,128,131076,0,131076,131072,1,128,
gauss_kernel_gpu_collapse_mem,269,1,2,128,128,131076,0,131076,131072,1,128,
gauss_kernel_cpu,246,0,1,1,128,0,0,0,0,1,160,
gauss_kernel_cpu_collapse,258,0,2,1,128,0,0,0,0,1,160,
gauss_kernel_gpu,149,1,1,2,128,4,0,4,0,1,160,
gauss_kernel_gpu_collapse,118,1,2,200,128,4,0,4,0,1,160,
gauss_kernel_gpu_mem,334,1,1,2,128,204804,0,204804,204800,1,160,
gauss_kernel_gpu_collapse_mem,303,1,2,200,128,204804,0,204804,204800,1,160,
gauss_kernel_cpu,216,0,1,1,128,0,0,0,0,1,192,
gauss_kernel_cpu_collapse,219,0,2,1,128,0,0,0,0,1,192,
gauss_kernel_gpu,162,1,1,2,128,4,0,4,0,1,192,
gauss_kernel_gpu_collapse,129,1,2,288,128,4,0,4,0,1,192,
gauss_kernel_gpu_mem,374,1,1,2,128,294916,0,294916,294912,1,192,
gauss_kernel_gpu_collapse_mem,347,1,2,288,128,294916,0,294916,294912,1,192,
gauss_kernel_cpu,246,0,1,1,128,0,0,0,0,1,224,
gauss_kernel_cpu_collapse,243,0,2,1,128,0,0,0,0,1,224,
gauss_kernel_gpu,166,1,1,2,128,4,0,4,0,1,224,
gauss_kernel_gpu_collapse,143,1,2,392,128,4,0,4,0,1,224,
gauss_kernel_gpu_mem,412,1,1,2,128,401412,0,401412,401408,1,224,
gauss_kernel_gpu_collapse_mem,387,1,2,392,128,401412,0,401412,401408,1,224,
gauss_kernel_cpu,257,0,1,1,128,0,0,0,0,1,256,
gauss_kernel_cpu_collapse,284,0,2,1,128,0,0,0,0,1,256,
gauss_kernel_gpu,174,1,1,2,128,4,0,4,0,1,256,
gauss_kernel_gpu_collapse,162,1,2,512,128,4,0,4,0,1,256,
gauss_kernel_gpu_mem,456,1,1,2,128,524292,0,524292,524288,1,256,
gauss_kernel_gpu_collapse_mem,447,1,2,512,128,524292,0,524292,524288,1,256,
gauss_kernel_cpu,249,0,1,1,128,0,0,0,0,1,288,
gauss_kernel_cpu_collapse,261,0,2,1,128,0,0,0,0,1,288,
gauss_kernel_gpu,199,1,1,3,128,4,0,4,0,1,288,
gauss_kernel_gpu_collapse,185,1,2,648,128,4,0,4,0,1,288,
gauss_kernel_gpu_mem,523,1,1,3,128,663556,0,663556,663552,1,288,
gauss_kernel_gpu_collapse_mem,507,1,2,648,128,663556,0,663556,663552,1,288,
gauss_kernel_cpu,244,0,1,1,128,0,0,0,0,1,320,
gauss_kernel_cpu_collapse,285,0,2,1,128,0,0,0,0,1,320,
gauss_kernel_gpu,218,1,1,3,128,4,0,4,0,1,320,
gauss_kernel_gpu_collapse,211,1,2,800,128,4,0,4,0,1,320,
gauss_kernel_gpu_mem,597,1,1,3,128,819204,0,819204,819200,1,320,
gauss_kernel_gpu_collapse_mem,591,1,2,800,128,819204,0,819204,819200,1,320,
gauss_kernel_cpu,277,0,1,1,128,0,0,0,0,1,352,
gauss_kernel_cpu_collapse,299,0,2,1,128,0,0,0,0,1,352,
gauss_kernel_gpu,219,1,1,3,128,4,0,4,0,1,352,
gauss_kernel_gpu_collapse,237,1,2,968,128,4,0,4,0,1,352,
gauss_kernel_gpu_mem,654,1,1,3,128,991236,0,991236,991232,1,352,
gauss_kernel_gpu_collapse_mem,667,1,2,968,128,991236,0,991236,991232,1,352,
gauss_kernel_cpu,253,0,1,1,128,0,0,0,0,1,384,
gauss_kernel_cpu_collapse,268,0,2,1,128,0,0,0,0,1,384,
gauss_kernel_gpu,240,1,1,3,128,4,0,4,0,1,384,
gauss_kernel_gpu_collapse,267,1,2,1152,128,4,0,4,0,1,384,
gauss_kernel_gpu_mem,765,1,1,3,128,1179652,0,1179652,1179648,1,384,
gauss_kernel_gpu_collapse_mem,793,1,2,1152,128,1179652,0,1179652,1179648,1,384,
gauss_kernel_cpu,274,0,1,1,128,0,0,0,0,1,416,
gauss_kernel_cpu_collapse,294,0,2,1,128,0,0,0,0,1,416,
gauss_kernel_gpu,249,1,1,4,128,4,0,4,0,1,416,
gauss_kernel_gpu_collapse,299,1,2,1352,128,4,0,4,0,1,416,
gauss_kernel_gpu_mem,831,1,1,4,128,1384452,0,1384452,1384448,1,416,
gauss_kernel_gpu_collapse_mem,881,1,2,1352,128,1384452,0,1384452,1384448,1,416,
gauss_kernel_cpu,256,0,1,1,128,0,0,0,0,1,448,
gauss_kernel_cpu_collapse,279,0,2,1,128,0,0,0,0,1,448,
gauss_kernel_gpu,255,1,1,4,128,4,0,4,0,1,448,
gauss_kernel_gpu_collapse,334,1,2,1568,128,4,0,4,0,1,448,
gauss_kernel_gpu_mem,890,1,1,4,128,1605636,0,1605636,1605632,1,448,
gauss_kernel_gpu_collapse_mem,971,1,2,1568,128,1605636,0,1605636,1605632,1,448,
gauss_kernel_cpu,299,0,1,1,128,0,0,0,0,1,480,
gauss_kernel_cpu_collapse,334,0,2,1,128,0,0,0,0,1,480,
gauss_kernel_gpu,281,1,1,4,128,4,0,4,0,1,480,
gauss_kernel_gpu_collapse,370,1,2,1800,128,4,0,4,0,1,480,
gauss_kernel_gpu_mem,1027,1,1,4,128,1843204,0,1843204,1843200,1,480,
gauss_kernel_gpu_collapse_mem,1108,1,2,1800,128,1843204,0,1843204,1843200,1,480,
gauss_kernel_cpu,325,0,1,1,128,0,0,0,0,1,512,
gauss_kernel_cpu_collapse,369,0,2,1,128,0,0,0,0,1,512,
gauss_kernel_gpu,270,1,1,4,128,4,0,4,0,1,512,
gauss_kernel_gpu_collapse,409,1,2,2048,128,4,0,4,0,1,512,
gauss_kernel_gpu_mem,2724,1,1,4,128,2097156,0,2097156,2097152,1,512,
gauss_kernel_gpu_collapse_mem,2859,1,2,2048,128,2097156,0,2097156,2097152,1,512,
gauss_kernel_cpu,308,0,1,1,128,0,0,0,0,1,544,
gauss_kernel_cpu_collapse,356,0,2,1,128,0,0,0,0,1,544,
gauss_kernel_gpu,303,1,1,5,128,4,0,4,0,1,544,
gauss_kernel_gpu_collapse,449,1,2,2312,128,4,0,4,0,1,544,
gauss_kernel_gpu_mem,2908,1,1,5,128,2367492,0,2367492,2367488,1,544,
gauss_kernel_gpu_collapse_mem,3042,1,2,2312,128,2367492,0,2367492,2367488,1,544,
gauss_kernel_cpu,318,0,1,1,128,0,0,0,0,1,576,
gauss_kernel_cpu_collapse,364,0,2,1,128,0,0,0,0,1,576,
gauss_kernel_gpu,317,1,1,5,128,4,0,4,0,1,576,
gauss_kernel_gpu_collapse,497,1,2,2592,128,4,0,4,0,1,576,
gauss_kernel_gpu_mem,3112,1,1,5,128,2654212,0,2654212,2654208,1,576,
gauss_kernel_gpu_collapse_mem,3268,1,2,2592,128,2654212,0,2654212,2654208,1,576,
gauss_kernel_cpu,323,0,1,1,128,0,0,0,0,1,608,
gauss_kernel_cpu_collapse,383,0,2,1,128,0,0,0,0,1,608,
gauss_kernel_gpu,319,1,1,5,128,4,0,4,0,1,608,
gauss_kernel_gpu_collapse,539,1,2,2888,128,4,0,4,0,1,608,
gauss_kernel_gpu_mem,3227,1,1,5,128,2957316,0,2957316,2957312,1,608,
gauss_kernel_gpu_collapse_mem,3429,1,2,2888,128,2957316,0,2957316,2957312,1,608,
gauss_kernel_cpu,347,0,1,1,128,0,0,0,0,1,640,
gauss_kernel_cpu_collapse,396,0,2,1,128,0,0,0,0,1,640,
gauss_kernel_gpu,354,1,1,5,128,4,0,4,0,1,640,
gauss_kernel_gpu_collapse,594,1,2,3200,128,4,0,4,0,1,640,
gauss_kernel_gpu_mem,3348,1,1,5,128,3276804,0,3276804,3276800,1,640,
gauss_kernel_gpu_collapse_mem,3578,1,2,3200,128,3276804,0,3276804,3276800,1,640,
gauss_kernel_cpu,364,0,1,1,128,0,0,0,0,1,672,
gauss_kernel_cpu_collapse,430,0,2,1,128,0,0,0,0,1,672,
gauss_kernel_gpu,408,1,1,6,128,4,0,4,0,1,672,
gauss_kernel_gpu_collapse,304,1,2,3528,128,4,0,4,0,1,672,
gauss_kernel_gpu_mem,3526,1,1,6,128,3612676,0,3612676,3612672,1,672,
gauss_kernel_gpu_collapse_mem,3415,1,2,3528,128,3612676,0,3612676,3612672,1,672,
gauss_kernel_cpu,359,0,1,1,128,0,0,0,0,1,704,
gauss_kernel_cpu_collapse,440,0,2,1,128,0,0,0,0,1,704,
gauss_kernel_gpu,347,1,1,6,128,4,0,4,0,1,704,
gauss_kernel_gpu_collapse,696,1,2,3872,128,4,0,4,0,1,704,
gauss_kernel_gpu_mem,3693,1,1,6,128,3964932,0,3964932,3964928,1,704,
gauss_kernel_gpu_collapse_mem,3995,1,2,3872,128,3964932,0,3964932,3964928,1,704,
gauss_kernel_cpu,366,0,1,1,128,0,0,0,0,1,736,
gauss_kernel_cpu_collapse,460,0,2,1,128,0,0,0,0,1,736,
gauss_kernel_gpu,416,1,1,6,128,4,0,4,0,1,736,
gauss_kernel_gpu_collapse,757,1,2,4232,128,4,0,4,0,1,736,
gauss_kernel_gpu_mem,3988,1,1,6,128,4333572,0,4333572,4333568,1,736,
gauss_kernel_gpu_collapse_mem,4287,1,2,4232,128,4333572,0,4333572,4333568,1,736,
gauss_kernel_cpu,377,0,1,1,128,0,0,0,0,1,768,
gauss_kernel_cpu_collapse,486,0,2,1,128,0,0,0,0,1,768,
gauss_kernel_gpu,453,1,1,6,128,4,0,4,0,1,768,
gauss_kernel_gpu_collapse,812,1,2,4608,128,4,0,4,0,1,768,
gauss_kernel_gpu_mem,4113,1,1,6,128,4718596,0,4718596,4718592,1,768,
gauss_kernel_gpu_collapse_mem,4507,1,2,4608,128,4718596,0,4718596,4718592,1,768,
gauss_kernel_cpu,398,0,1,1,128,0,0,0,0,1,800,
gauss_kernel_cpu_collapse,486,0,2,1,128,0,0,0,0,1,800,
gauss_kernel_gpu,420,1,1,7,128,4,0,4,0,1,800,
gauss_kernel_gpu_collapse,873,1,2,5000,128,4,0,4,0,1,800,
gauss_kernel_gpu_mem,4297,1,1,7,128,5120004,0,5120004,5120000,1,800,
gauss_kernel_gpu_collapse_mem,4825,1,2,5000,128,5120004,0,5120004,5120000,1,800,
gauss_kernel_cpu,418,0,1,1,128,0,0,0,0,1,832,
gauss_kernel_cpu_collapse,500,0,2,1,128,0,0,0,0,1,832,
gauss_kernel_gpu,471,1,1,7,128,4,0,4,0,1,832,
gauss_kernel_gpu_collapse,944,1,2,5408,128,4,0,4,0,1,832,
gauss_kernel_gpu_mem,4606,1,1,7,128,5537796,0,5537796,5537792,1,832,
gauss_kernel_gpu_collapse_mem,5052,1,2,5408,128,5537796,0,5537796,5537792,1,832,
gauss_kernel_cpu,467,0,1,1,128,0,0,0,0,1,864,
gauss_kernel_cpu_collapse,551,0,2,1,128,0,0,0,0,1,864,
gauss_kernel_gpu,489,1,1,7,128,4,0,4,0,1,864,
gauss_kernel_gpu_collapse,1026,1,2,5832,128,4,0,4,0,1,864,
gauss_kernel_gpu_mem,4761,1,1,7,128,5971972,0,5971972,5971968,1,864,
gauss_kernel_gpu_collapse_mem,5349,1,2,5832,128,5971972,0,5971972,5971968,1,864,
gauss_kernel_cpu,463,0,1,1,128,0,0,0,0,1,896,
gauss_kernel_cpu_collapse,582,0,2,1,128,0,0,0,0,1,896,
gauss_kernel_gpu,497,1,1,7,128,4,0,4,0,1,896,
gauss_kernel_gpu_collapse,1084,1,2,6272,128,4,0,4,0,1,896,
gauss_kernel_gpu_mem,5325,1,1,7,128,6422532,0,6422532,6422528,1,896,
gauss_kernel_gpu_collapse_mem,5823,1,2,6272,128,6422532,0,6422532,6422528,1,896,
gauss_kernel_cpu,456,0,1,1,128,0,0,0,0,1,928,
gauss_kernel_cpu_collapse,576,0,2,1,128,0,0,0,0,1,928,
gauss_kernel_gpu,525,1,1,8,128,4,0,4,0,1,928,
gauss_kernel_gpu_collapse,1112,1,2,6728,128,4,0,4,0,1,928,
gauss_kernel_gpu_mem,5744,1,1,8,128,6889476,0,6889476,6889472,1,928,
gauss_kernel_gpu_collapse_mem,6224,1,2,6728,128,6889476,0,6889476,6889472,1,928,
gauss_kernel_cpu,481,0,1,1,128,0,0,0,0,1,960,
gauss_kernel_cpu_collapse,608,0,2,1,128,0,0,0,0,1,960,
gauss_kernel_gpu,541,1,1,8,128,4,0,4,0,1,960,
gauss_kernel_gpu_collapse,1178,1,2,7200,128,4,0,4,0,1,960,
gauss_kernel_gpu_mem,6050,1,1,8,128,7372804,0,7372804,7372800,1,960,
gauss_kernel_gpu_collapse_mem,6701,1,2,7200,128,7372804,0,7372804,7372800,1,960,
gauss_kernel_cpu,539,0,1,1,128,0,0,0,0,1,992,
gauss_kernel_cpu_collapse,672,0,2,1,128,0,0,0,0,1,992,
gauss_kernel_gpu,503,1,1,8,128,4,0,4,0,1,992,
gauss_kernel_gpu_collapse,1266,1,2,7688,128,4,0,4,0,1,992,
gauss_kernel_gpu_mem,6267,1,1,8,128,7872516,0,7872516,7872512,1,992,
gauss_kernel_gpu_collapse_mem,7051,1,2,7688,128,7872516,0,7872516,7872512,1,992,
gauss_kernel_cpu,540,0,1,1,128,0,0,0,0,1,1024,
gauss_kernel_cpu_collapse,663,0,2,1,128,0,0,0,0,1,1024,
gauss_kernel_gpu,537,1,1,8,128,4,0,4,0,1,1024,
gauss_kernel_gpu_collapse,1379,1,2,8192,128,4,0,4,0,1,1024,
gauss_kernel_gpu_mem,6556,1,1,8,128,8388612,0,8388612,8388608,1,1024,
gauss_kernel_gpu_collapse_mem,7471,1,2,8192,128,8388612,0,8388612,8388608,1,1024,
gauss_kernel_cpu,557,0,1,1,128,0,0,0,0,1,1056,
gauss_kernel_cpu_collapse,718,0,2,1,128,0,0,0,0,1,1056,
gauss_kernel_gpu,541,1,1,9,128,4,0,4,0,1,1056,
gauss_kernel_gpu_collapse,1434,1,2,8712,128,4,0,4,0,1,1056,
gauss_kernel_gpu_mem,7234,1,1,9,128,8921092,0,8921092,8921088,1,1056,
gauss_kernel_gpu_collapse_mem,8110,1,2,8712,128,8921092,0,8921092,8921088,1,1056,
gauss_kernel_cpu,557,0,1,1,128,0,0,0,0,1,1088,
gauss_kernel_cpu_collapse,741,0,2,1,128,0,0,0,0,1,1088,
gauss_kernel_gpu,578,1,1,9,128,4,0,4,0,1,1088,
gauss_kernel_gpu_collapse,1512,1,2,9248,128,4,0,4,0,1,1088,
gauss_kernel_gpu_mem,7587,1,1,9,128,9469956,0,9469956,9469952,1,1088,
gauss_kernel_gpu_collapse_mem,8583,1,2,9248,128,9469956,0,9469956,9469952,1,1088,
gauss_kernel_cpu,589,0,1,1,128,0,0,0,0,1,1120,
gauss_kernel_cpu_collapse,724,0,2,1,128,0,0,0,0,1,1120,
gauss_kernel_gpu,606,1,1,9,128,4,0,4,0,1,1120,
gauss_kernel_gpu_collapse,1603,1,2,9800,128,4,0,4,0,1,1120,
gauss_kernel_gpu_mem,8089,1,1,9,128,10035204,0,10035204,10035200,1,1120,
gauss_kernel_gpu_collapse_mem,7737,1,2,9800,128,10035204,0,10035204,10035200,1,1120,
gauss_kernel_cpu,609,0,1,1,128,0,0,0,0,1,1152,
gauss_kernel_cpu_collapse,779,0,2,1,128,0,0,0,0,1,1152,
gauss_kernel_gpu,597,1,1,9,128,4,0,4,0,1,1152,
gauss_kernel_gpu_collapse,1688,1,2,10368,128,4,0,4,0,1,1152,
gauss_kernel_gpu_mem,8432,1,1,9,128,10616836,0,10616836,10616832,1,1152,
gauss_kernel_gpu_collapse_mem,6537,1,2,10368,128,10616836,0,10616836,10616832,1,1152,
gauss_kernel_cpu,615,0,1,1,128,0,0,0,0,1,1184,
gauss_kernel_cpu_collapse,806,0,2,1,128,0,0,0,0,1,1184,
gauss_kernel_gpu,598,1,1,10,128,4,0,4,0,1,1184,
gauss_kernel_gpu_collapse,1820,1,2,10952,128,4,0,4,0,1,1184,
gauss_kernel_gpu_mem,8885,1,1,10,128,11214852,0,11214852,11214848,1,1184,
gauss_kernel_gpu_collapse_mem,8157,1,2,10952,128,11214852,0,11214852,11214848,1,1184,
gauss_kernel_cpu,656,0,1,1,128,0,0,0,0,1,1216,
gauss_kernel_cpu_collapse,846,0,2,1,128,0,0,0,0,1,1216,
gauss_kernel_gpu,575,1,1,10,128,4,0,4,0,1,1216,
gauss_kernel_gpu_collapse,1921,1,2,11552,128,4,0,4,0,1,1216,
gauss_kernel_gpu_mem,9238,1,1,10,128,11829252,0,11829252,11829248,1,1216,
gauss_kernel_gpu_collapse_mem,4256,1,2,11552,128,11829252,0,11829252,11829248,1,1216,
gauss_kernel_cpu,640,0,1,1,128,0,0,0,0,1,1248,
gauss_kernel_cpu_collapse,837,0,2,1,128,0,0,0,0,1,1248,
gauss_kernel_gpu,610,1,1,10,128,4,0,4,0,1,1248,
gauss_kernel_gpu_collapse,1973,1,2,12168,128,4,0,4,0,1,1248,
gauss_kernel_gpu_mem,9774,1,1,10,128,12460036,0,12460036,12460032,1,1248,
gauss_kernel_gpu_collapse_mem,4407,1,2,12168,128,12460036,0,12460036,12460032,1,1248,
gauss_kernel_cpu,690,0,1,1,128,0,0,0,0,1,1280,
gauss_kernel_cpu_collapse,878,0,2,1,128,0,0,0,0,1,1280,
gauss_kernel_gpu,605,1,1,10,128,4,0,4,0,1,1280,
gauss_kernel_gpu_collapse,2077,1,2,12800,128,4,0,4,0,1,1280,
gauss_kernel_gpu_mem,10230,1,1,10,128,13107204,0,13107204,13107200,1,1280,
gauss_kernel_gpu_collapse_mem,4614,1,2,12800,128,13107204,0,13107204,13107200,1,1280,
gauss_kernel_cpu,723,0,1,1,128,0,0,0,0,1,1312,
gauss_kernel_cpu_collapse,912,0,2,1,128,0,0,0,0,1,1312,
gauss_kernel_gpu,670,1,1,11,128,4,0,4,0,1,1312,
gauss_kernel_gpu_collapse,2180,1,2,13448,128,4,0,4,0,1,1312,
gauss_kernel_gpu_mem,10673,1,1,11,128,13770756,0,13770756,13770752,1,1312,
gauss_kernel_gpu_collapse_mem,4913,1,2,13448,128,13770756,0,13770756,13770752,1,1312,
gauss_kernel_cpu,753,0,1,1,128,0,0,0,0,1,1344,
gauss_kernel_cpu_collapse,1053,0,2,1,128,0,0,0,0,1,1344,
gauss_kernel_gpu,635,1,1,11,128,4,0,4,0,1,1344,
gauss_kernel_gpu_collapse,2278,1,2,14112,128,4,0,4,0,1,1344,
gauss_kernel_gpu_mem,11161,1,1,11,128,14450692,0,14450692,14450688,1,1344,
gauss_kernel_gpu_collapse_mem,5080,1,2,14112,128,14450692,0,14450692,14450688,1,1344,
gauss_kernel_cpu,765,0,1,1,128,0,0,0,0,1,1376,
gauss_kernel_cpu_collapse,1155,0,2,1,128,0,0,0,0,1,1376,
gauss_kernel_gpu,613,1,1,11,128,4,0,4,0,1,1376,
gauss_kernel_gpu_collapse,2383,1,2,14792,128,4,0,4,0,1,1376,
gauss_kernel_gpu_mem,11556,1,1,11,128,15147012,0,15147012,15147008,1,1376,
gauss_kernel_gpu_collapse_mem,5276,1,2,14792,128,15147012,0,15147012,15147008,1,1376,
gauss_kernel_cpu,766,0,1,1,128,0,0,0,0,1,1408,
gauss_kernel_cpu_collapse,1128,0,2,1,128,0,0,0,0,1,1408,
gauss_kernel_gpu,612,1,1,11,128,4,0,4,0,1,1408,
gauss_kernel_gpu_collapse,2491,1,2,15488,128,4,0,4,0,1,1408,
gauss_kernel_gpu_mem,12040,1,1,11,128,15859716,0,15859716,15859712,1,1408,
gauss_kernel_gpu_collapse_mem,5446,1,2,15488,128,15859716,0,15859716,15859712,1,1408,
gauss_kernel_cpu,806,0,1,1,128,0,0,0,0,1,1440,
gauss_kernel_cpu_collapse,1122,0,2,1,128,0,0,0,0,1,1440,
gauss_kernel_gpu,668,1,1,12,128,4,0,4,0,1,1440,
gauss_kernel_gpu_collapse,2626,1,2,16200,128,4,0,4,0,1,1440,
gauss_kernel_gpu_mem,12364,1,1,12,128,16588804,0,16588804,16588800,1,1440,
gauss_kernel_gpu_collapse_mem,5656,1,2,16200,128,16588804,0,16588804,16588800,1,1440,
gauss_kernel_cpu,854,0,1,1,128,0,0,0,0,1,1472,
gauss_kernel_cpu_collapse,1156,0,2,1,128,0,0,0,0,1,1472,
gauss_kernel_gpu,641,1,1,12,128,4,0,4,0,1,1472,
gauss_kernel_gpu_collapse,2724,1,2,16928,128,4,0,4,0,1,1472,
gauss_kernel_gpu_mem,13174,1,1,12,128,17334276,0,17334276,17334272,1,1472,
gauss_kernel_gpu_collapse_mem,6031,1,2,16928,128,17334276,0,17334276,17334272,1,1472,
gauss_kernel_cpu,843,0,1,1,128,0,0,0,0,1,1504,
gauss_kernel_cpu_collapse,1180,0,2,1,128,0,0,0,0,1,1504,
gauss_kernel_gpu,666,1,1,12,128,4,0,4,0,1,1504,
gauss_kernel_gpu_collapse,2915,1,2,17672,128,4,0,4,0,1,1504,
gauss_kernel_gpu_mem,13573,1,1,12,128,18096132,0,18096132,18096128,1,1504,
gauss_kernel_gpu_collapse_mem,6238,1,2,17672,128,18096132,0,18096132,18096128,1,1504,
gauss_kernel_cpu,854,0,1,1,128,0,0,0,0,1,1536,
gauss_kernel_cpu_collapse,1172,0,2,1,128,0,0,0,0,1,1536,
gauss_kernel_gpu,702,1,1,12,128,4,0,4,0,1,1536,
gauss_kernel_gpu_collapse,2961,1,2,18432,128,4,0,4,0,1,1536,
gauss_kernel_gpu_mem,14006,1,1,12,128,18874372,0,18874372,18874368,1,1536,
gauss_kernel_gpu_collapse_mem,6375,1,2,18432,128,18874372,0,18874372,18874368,1,1536,
gauss_kernel_cpu,897,0,1,1,128,0,0,0,0,1,1568,
gauss_kernel_cpu_collapse,1281,0,2,1,128,0,0,0,0,1,1568,
gauss_kernel_gpu,698,1,1,13,128,4,0,4,0,1,1568,
gauss_kernel_gpu_collapse,3101,1,2,19208,128,4,0,4,0,1,1568,
gauss_kernel_gpu_mem,14645,1,1,13,128,19668996,0,19668996,19668992,1,1568,
gauss_kernel_gpu_collapse_mem,6671,1,2,19208,128,19668996,0,19668996,19668992,1,1568,
gauss_kernel_cpu,915,0,1,1,128,0,0,0,0,1,1600,
gauss_kernel_cpu_collapse,1291,0,2,1,128,0,0,0,0,1,1600,
gauss_kernel_gpu,752,1,1,13,128,4,0,4,0,1,1600,
gauss_kernel_gpu_collapse,3216,1,2,20000,128,4,0,4,0,1,1600,
gauss_kernel_gpu_mem,15064,1,1,13,128,20480004,0,20480004,20480000,1,1600,
gauss_kernel_gpu_collapse_mem,6888,1,2,20000,128,20480004,0,20480004,20480000,1,1600,
gauss_kernel_cpu,1125,0,1,1,128,0,0,0,0,1,1632,
gauss_kernel_cpu_collapse,1312,0,2,1,128,0,0,0,0,1,1632,
gauss_kernel_gpu,748,1,1,13,128,4,0,4,0,1,1632,
gauss_kernel_gpu_collapse,3344,1,2,20808,128,4,0,4,0,1,1632,
gauss_kernel_gpu_mem,15536,1,1,13,128,21307396,0,21307396,21307392,1,1632,
gauss_kernel_gpu_collapse_mem,7161,1,2,20808,128,21307396,0,21307396,21307392,1,1632,
gauss_kernel_cpu,1067,0,1,1,128,0,0,0,0,1,1664,
gauss_kernel_cpu_collapse,1429,0,2,1,128,0,0,0,0,1,1664,
gauss_kernel_gpu,738,1,1,13,128,4,0,4,0,1,1664,
gauss_kernel_gpu_collapse,3590,1,2,21632,128,4,0,4,0,1,1664,
gauss_kernel_gpu_mem,16149,1,1,13,128,22151172,0,22151172,22151168,1,1664,
gauss_kernel_gpu_collapse_mem,7498,1,2,21632,128,22151172,0,22151172,22151168,1,1664,
gauss_kernel_cpu,1082,0,1,1,128,0,0,0,0,1,1696,
gauss_kernel_cpu_collapse,1483,0,2,1,128,0,0,0,0,1,1696,
gauss_kernel_gpu,865,1,1,14,128,4,0,4,0,1,1696,
gauss_kernel_gpu_collapse,1403,1,2,22472,128,4,0,4,0,1,1696,
gauss_kernel_gpu_mem,16664,1,1,14,128,23011332,0,23011332,23011328,1,1696,
gauss_kernel_gpu_collapse_mem,5421,1,2,22472,128,23011332,0,23011332,23011328,1,1696,
gauss_kernel_cpu,1121,0,1,1,128,0,0,0,0,1,1728,
gauss_kernel_cpu_collapse,1489,0,2,1,128,0,0,0,0,1,1728,
gauss_kernel_gpu,891,1,1,14,128,4,0,4,0,1,1728,
gauss_kernel_gpu_collapse,3766,1,2,23328,128,4,0,4,0,1,1728,
gauss_kernel_gpu_mem,17339,1,1,14,128,23887876,0,23887876,23887872,1,1728,
gauss_kernel_gpu_collapse_mem,7949,1,2,23328,128,23887876,0,23887876,23887872,1,1728,
gauss_kernel_cpu,1103,0,1,1,128,0,0,0,0,1,1760,
gauss_kernel_cpu_collapse,1499,0,2,1,128,0,0,0,0,1,1760,
gauss_kernel_gpu,865,1,1,14,128,4,0,4,0,1,1760,
gauss_kernel_gpu_collapse,3876,1,2,24200,128,4,0,4,0,1,1760,
